eBird_count,eBird_code,State,County,PerCapitaIncome,Population,Region,Subregion,logcheck,logGDP,logpop,RDistance,RDistance_Deviation
211,US-MS-065,Mississippi,Jefferson Davis,16216,12248,South,East South Central,5.351858133476067,9.693753688131835,9.41311793733752,0.42663798839466865,0.5071008921568662
410,US-MS-067,Mississippi,Jones,19519,68174,South,East South Central,6.016157159698354,9.879143629146611,11.129818539472732,0.822915590348684,1.103735290981221
189,US-MS-069,Mississippi,Kemper,13795,10383,South,East South Central,5.241747015059643,9.532061486651386,9.247925132303454,0.3085997285900867,0.32938283332761126
2677,US-MS-071,Mississippi,Lafayette,21388,48905,South,East South Central,7.892452043520352,9.970585296068622,10.797634919724594,-0.39560590464818085,-0.730867109046354
1045,US-MS-073,Mississippi,Lamar,26345,56763,South,East South Central,6.951772164398911,10.179033782643387,10.946639983999871,0.41195031333376075,0.4849871715305131
1786,US-MS-075,Mississippi,Lauderdale,21346,80337,South,East South Central,7.487733761436444,9.96861964747391,11.293985565916593,0.0574460978609254,-0.04875333874914324
79,US-MS-077,Mississippi,Lawrence,20655,12734,South,East South Central,4.3694478524670215,9.935712699830864,9.45203086057697,1.2632542915006246,1.7667079519275541
64,US-MS-079,Mississippi,Leake,16780,23519,South,East South Central,4.1588830833596715,9.727942980021197,10.065563884101888,1.4694083274940872,2.0770928657447296
1598,US-MS-081,Mississippi,Lee,21799,83964,South,East South Central,7.37650812632622,9.989619376165415,11.338143414533898,0.1596744485884551,0.10516136720035599
256,US-MS-083,Mississippi,Leflore,14307,31993,South,East South Central,5.545177444479562,9.568504206966335,10.373272407852593,0.5846263496534868,0.7449677069253632
389,US-MS-085,Mississippi,Lincoln,19566,34870,South,East South Central,5.963579343618446,9.881548645017373,10.459382139669696,0.5989917625197202,0.766596230533678
2977,US-MS-087,Mississippi,Lowndes,20951,59746,South,East South Central,7.998671361015776,9.949941656908011,10.997857521946106,-0.3927493756749031,-0.726566327376403
3004,US-MS-089,Mississippi,Madison,33170,97151,South,East South Central,8.007700012884026,10.409401131941099,11.484021748113392,0.1687948145614705,0.1188929635422547
345,US-MS-091,Mississippi,Marion,18126,26674,South,East South Central,5.84354441703136,9.805102650614726,10.19144458718234,0.5093093632586143,0.6315706724288705
1456,US-MS-093,Mississippi,Marshall,17978,36823,South,East South Central,7.283448228756631,9.796904067133344,10.513877928925865,-0.27164486467722976,-0.5442317297162534
381,US-MS-095,Mississippi,Monroe,18167,36652,South,East South Central,5.942799375126701,9.807362040438745,10.509223276085104,0.5737243062429471,0.7285536222429815
145,US-MS-097,Mississippi,Montgomery,15523,10754,South,East South Central,4.976733742420574,9.650078074026442,9.283033057369623,0.5849845613861682,0.7455070294627116
62,US-MS-099,Mississippi,Neshoba,18693,29655,South,East South Central,4.127134385045092,9.835904401212332,10.297386024272827,1.6569152011851167,2.3594026665218713
117,US-MS-101,Mississippi,Newton,18864,21645,South,East South Central,4.762173934797756,9.845010622777153,9.982529759876082,1.1452080510069886,1.5889778773961942
2894,US-MS-103,Mississippi,Noxubee,12780,11358,South,East South Central,7.970394907191429,9.455636727931525,9.337677620437377,-1.4880212454104524,-2.3756044519805966
5278,US-MS-105,Mississippi,Oktibbeha,20202,48198,South,East South Central,8.57130251706327,9.91353688838913,10.783072805401867,-0.8676922445783043,-1.4416389221100756
1529,US-MS-107,Mississippi,Panola,18073,34558,South,East South Central,7.332369205929062,9.802174390835638,10.450394350873067,-0.32478618190785774,-0.6242411415585842
1698,US-MS-109,Mississippi,Pearl River,20549,55569,South,East South Central,7.437206366871292,9.93056755693987,10.925380770790833,-0.09187723811472494,-0.27357411678700366
306,US-MS-111,Mississippi,Perry,17183,12174,South,East South Central,5.723585101952381,9.751675801946746,9.40705780905387,0.2270256000308775,0.20656506388377538
224,US-MS-113,Mississippi,Pike,18183,40269,South,East South Central,5.4116460518550396,9.808242370619395,10.603337221155746,0.9425100813688497,1.2837964069783883
253,US-MS-115,Mississippi,Pontotoc,18576,30207,South,East South Central,5.53338948872752,9.829625703937673,10.315828964583725,0.7728737520710064,1.0283924455878737
100,US-MS-117,Mississippi,Prentiss,16589,25354,South,East South Central,4.605170185988092,9.716495104092274,10.140691787498673,1.2050899725172202,1.6791359233330172
409,US-MS-119,Mississippi,Quitman,13954,8028,South,East South Central,6.013715156042802,9.543521484499182,8.990690709916228,-0.29557127680626333,-0.5802552658591975
2432,US-MS-121,Mississippi,Rankin,26897,143665,South,East South Central,7.796469243086058,10.199770035207079,11.87523947942241,0.2879512192517258,0.29829449804203123
281,US-MS-123,Mississippi,Scott,16789,28255,South,East South Central,5.638354669333745,9.728479189036397,10.249025712063943,0.6022169889867842,0.7714521220722375
106,US-MS-125,Mississippi,Sharkey,15744,4889,South,East South Central,4.663439094112067,9.664214619292034,8.494743062578646,0.4812761185849015,0.5893639012146409
689,US-MS-127,Mississippi,Simpson,18314,27439,South,East South Central,6.535241271013659,9.815421073667677,10.219720638027066,0.0914548058095757,0.0024500725001521434
53,US-MS-129,Mississippi,Smith,20334,16414,South,East South Central,3.970291913552122,9.920049640835106,9.705889908189658,1.6053096816447294,2.281705547191442
281,US-MS-131,Mississippi,Stone,18576,17854,South,East South Central,5.638354669333745,9.829625703937673,9.789982851739307,0.49818396089168504,0.6148202991548287
279,US-MS-133,Mississippi,Sunflower,12588,28722,South,East South Central,5.631211781821365,9.440499258184298,10.265418658620565,0.3896829425544491,0.4514614831928328
330,US-MS-135,Mississippi,Tallahatchie,12747,15231,South,East South Central,5.799092654460526,9.453051228782922,9.631088103615504,0.04213270185406406,-0.07180914300217596
394,US-MS-137,Mississippi,Tate,20431,28625,South,East South Central,5.976350909297934,9.924808634239811,10.262035740856541,0.5463209055778587,0.6872951423265334
54,US-MS-139,Mississippi,Tippah,18493,22080,South,East South Central,3.9889840465642745,9.825147561084876,10.00242750039103,1.6294892188291847,2.318110187677716
